title,creator,description,publisher
The Language of initial Literacy in a Cosmopolitan Enviroment: A Case of Cinyanja in Lusaka District,"Mwanza, David Sani","The language-in-education policy in Zambia is that in grade one, the language of instruction for initial literacy is the familiar local language spoken in an area. From grade two onwards, the language of instruction is English. However, there are regions such as Lusaka which is cosmopolitan; with so many people from different ethnic backgrounds yet Cinyanja is the language of initial literacy based on the assumption that it is the language of play in the district.It was from this background that a study was conducted. The purpose of the study was to find out if Cinyanja was appropriate for use as a language of initial literacy in Lusaka considering the fact that Lusaka was a cosmopolitan environment.The research design was a case study. Both qualitative and quantitative methods of data collection were used. Interview guides, lesson observation checklists and a familiar language test were administered.The target population consisted of all the government basic schools in Lusaka District, all the grade one teachers and all the grade one pupils. The sample consisted of 6 basic schools, 6 head teachers, 38 grade one teachers, 120 pupils from the 6 schools were tested and all the grade one pupils in the 6 sampled schools were part of the sample. The data was analysed qualitatively. It was grouped into identified themes according to research objectives.The findings revealed that Cinyanja was the language of play in high and medium density areas and the dominant language of play in the low density area was English. However, other languages such as Bemba, Tonga and Nsenga were also spoken by children during play.",
Economic Introspection: The cure for Africa's trade and general economic malaise: A critical analysis of the constraints in the generalised system of preferences as it relates to Africa,"Nchito, Mutembo","Third world countries have always sought to be treated exclusively in international trade, receiving concessions to prop up their economies and pressing for every exception imaginable to be forwarded to them to make their international trade prospects brighter.\r\nThe GATT as an instrument seeking to regulate international trade has been criticised by third world countries for expecting them to trade on an equal basis with developed economies. This among other things for instance led to the inclusion in the Havana charter article fifteen which provided that new preferences could be granted in the interest of development or reconstruction of one or more of the parties to the GATT. Further part four of the GATT was also included to recognise the peculiar development needs of L.D.Cs. To that end many exceptions to the egalitarian principal underlying the GATT have been formulated over the years, but still many developing countries are not happy with these concessions.This paper attempts to sample the L.D.Cs complaints vis-a-vis the operation of the generalised system of preferences with a deliberate emphasis on Africa which continent is of obvious interest to the writer.\r\nThe paper attempts to show that even though Africa may be mistreated or mocked by a system such as the G.S.P, there is a way of benefiting from it especially one of close intra African economic co-operation which would enable Africa to give a formidable front in international trade.\r\nChapter one, ""Towards the G.S.P"" is an attempt to trace the genesis of the GATT outlining its principal tenets and proceeding to epitomise the genesis of the G.S.P.Chapter two attempts to study the nature of the G.S.P and also to identify some of the weaknesses which disadvantage third world countries but seek to show that despite these the G.S.P could still be exploited to Africa's advantage.\r\nChapter three is an attempt to discuss economic co¬operation in some depth with a view to justifying the assertion that economic co-operation could solve some of Africa's mistreatment on the international market scene and proceed to identify some efforts at economic co-operation and also some defects in the same and so\r\nsuggest how we think efficacious economic co-operation could be attained.The last chapter seeks to conclude the matter by recapulating the defects pointed out in the G.S.P and seek to show how benefits could still be derived from the G.S.P. or else show that Africa is could still be economically viable with or without the G.S.P.",
"Acceptability of Antiretroviral Drugs among adults living in Chawama, Lusaka","Munthali, Sharon C.","Acceptability of Antiretrovirals (ARVs) has been found to be associated with several factors. In this study we investigated the level of willingness among adults living in Chawama and factors likely to be associated with willingness to taking ARVs\r\nThis was a cross sectional study. Only eligible adults 18 years and above were recruited by a simple random sampling. A structured questionnaire was used to collect data socio-demographic and other factors likely to influence willingness The Chi square test was used to determine association between variables of interest and multivariate analysis was performed to determine predictors of willingness\r\nOverall (n=409), 52.8% females and 46.9% males participated in the study. The non response rate was less than 1%. Overall (n=409), 52.8% females and 46.9% males participated in this study. The non response rate was less than 1%. A high level of willingness was observed with more than 50% of participants willing to take ARVs if they were found legible for ART. The mean age of participants was 31 years (SD±11.60). Some of the key factors that were found significantly associated with willingness were, the aspect of being male or female [OR: 2.27 (95%CI, 1.10 - 4.70)] with females being more likely to be willing than males, the perceived effectiveness of ARVs [OR: 3.50(1.71 - 7.82))], the need for consent to begin ARV treatment [OR: 1.30(95% CI, 1.40-2.72)] with females being more likely to needing consent than men, and fear of discrimination [OR: 2.47(95% CI,1.22 – 5.00)]\r\nA high willingness to take Antiretroviral drugs among community members was observed but there is need to increase intervention programs that promote acceptability and uptake of ARVs. Furthermore stigmatizing attitudes, gender and socio-cultural influences towards people taking ARVs still persist and interventions to reduce these influences are needed.",
Humanities Exams 2001-2002,University of Zambia,past exams for the school of Humanities and social sciences second semester 2001-2002,
"Evaluation of Vitamin B12 and Folate Levels in Megaloblastic Anaemia,Diagnosed Morphologically,at the University Teaching Hospital,lusaka,Zambia","Ndhlovu, Jacob","Master of Science degree in Pathology (Haematology)~Vitamin B12 and folate deficiency is a well-known health problem.\r\nDeficiencies of folic acid and vitamin B12 are known to cause megaloblastic anaemia,\r\nwhich is characterised by presence of abnormally large erythrocyte precursor cells,\r\nmegaloblasts, in the bone marrow and macrocytic red cells in the peripheral blood. These\r\nmegaloblasts arise because of impaired deoxyribonucleic acid (DNA) synthesis followed\r\nby ineffective erythropoiesis. However, vitamin B12 or folate levels have not been\r\ndescribed in Zambia, whether normal levels or in relation to anaemia.\r\nThe study aimed to determine vitamin B12 and folate levels in megaloblastic\r\nanaemia, diagnosed morphologically, in patients at the University Teaching.\r\nThis was a case control study which was undertaken at the\r\nUniversity Teaching Hospital (UTH) in Lusaka, Zambia. Full blood count (FBC),\r\nPeripheral smears and ELISA were assessed on blood samples received from\r\nmegaloblastic anaemia and non-anaemic patients. The age range was between 18 – 54\r\nyears (Mean age-31 years). Among the 40 megaloblastic patients, 35% (14/40) were male\r\nand 65% (26/40) were female with a male to female ratio of 1:1.9. Full blood count and\r\nperipheral smear findings revealed that bicytopenia was present in 22.5% (9/40) and\r\npancytopenia in 72.5% (29/40) patients. Furthermore, the results showed megaloblastic\r\nanaemia participants had statistically significant lower median vitamin B12 concentration\r\n175 (150-333)pg/ml than non-anaemic control participants 299.5 (238-571)pg/ml\r\n=0.0001. Megaloblastic anaemia participants also had a statistically significant lower\r\nfolate concentration (12.32± 2.28 ng/ml) than non-anaemic control participants (19.28 ±\r\n2.84 ng/ml) =0.029. Of the megaloblastic anaemia patients, vitamin B12 deficiency was\r\nin 60% (24/40), pure folate deficiency in 30% (12/40) and combined deficiency was\r\nobserved in 15% (6/40) patients. A weak negative correlation was found between vitamin\r\nB12 and mean corpuscular volume but statistically significant (r= 0.0278, =0.001).\r\nHowever, there was no statistical significant correlation between folate and mean\r\ncorpuscular volume (r = 0.098, = 0.326).\r\nThis study shows that majority of patients with megaloblastic anaemia,\r\ndiagnosed morphologically, at the University Teaching Hospital have a deficiency of\r\nvitamin B12 deficiency.",University of Zambia
Genetic analysis of cowpea (Vigna unguiculata L. WALP) agronomic variables in phosphorus limiting soil.,"Chikalipa, Emmanuel","Thesis~Cowpea is an important cultivated grain legume pulse, vegetable and fodder crop of\r\nAfrican origin. However, yields have been characteristically low as a result of both \r\nabiotic and biotic stresses. Among the abiotic stresses, yield losses due to phosphorus \r\n(P) deficiency is an important factor. Identification and selection of cowpea \r\ngenotypes possessing suitable agronomic traits is key for cultivar design and \r\ndevelopment to increase production. Accordingly, genetic improvement in cowpea \r\naims to develop cultivars with improved grain yields and tolerance to abiotic and \r\nbiotic stress factors. The objectives of the study were to (i) identify high yielding \r\ncowpea genotypes when exposed to P-limiting soil, (ii) determine the cowpea \r\nheritability response of yield and its associated variables when exposed to P-limiting \r\nsoil and (iii) identify the variables with high discriminating capability among cowpea \r\ngenotypes in P-limiting soil. Twenty cowpea genotypes comprising of twelve crosses \r\nand eight progenitors were evaluated for agronomic variables performance in P limited soil at the University of Zambia Greenhouse in Lusaka. The experiment was \r\narranged as a two set experiment (i.e. applied rate of i) 0kg P2O5 /ha and ii) 60kg \r\nP2O5/ha [a control]) and laid as a completely randomized design (CRD) with 3 \r\nreplications. Comparisons using a paired t- test revealed a significant increase in \r\nperformance in a control (60kg P2O5 /ha) for all measured variables across genotypes \r\nwhen compared to a 0 Kg P2O5 / ha experimental set. In this study, genotype [LT 11-\r\n3-3-12] and a cross [LT 3-8-4-1 X LT 11-5-1-1] were identified as the highest \r\nperformers exhibiting a mean yield of 1994.90 kg/ha and 1984 kg/ha respectively in \r\na P-limiting soil. The narrow sense heritability for measured variables ranged from\r\n11- 35 % and 12 -72% for 0 Kg P2O5 and 60 Kg P2O5 experimental set respectively. \r\nThe highest narrow sense heritability scores in a limiting P experimental set were for \r\npod length (h2= 0.35) and root biomass (h2= 0.28) while in the control set the \r\nvariable yield (h2= 0.72) had the highest score. Variables plant biomass, root \r\nbiomass, number of pods and pod length were identified as ideal at discriminating \r\ngenotypic performance responses in P- limiting soil. These findings imply that high yielding cowpea genotypes with acceptable P deficiency can be developed.\r\nKeywords: Cowpea, yield, phosphorus, discriminating, principal component analysis, \r\nHeritability",The University of Zambia
Prevalence and incidence of hypertension and diabetes mellitus in HIV infected persons on HAART in Chongwe district in Lusaka province.,"Hamoonga, Bona Mwiinga","Thesis~The Zambia National strategic plan (ZNHSP)-2011-2017 highlights the need for risk factor \r\nstratification at the community level to form the basis of incidence and prevalence data, which \r\nare currently inadequate. This research aims to determine the prevalence and incidence of \r\nhypertension and diabetes among HIV infected patients on Highly Active Anti-Retroviral \r\nTherapy (HAART) and its association with ARVs use. A retrospective cohort study was used \r\nusing the SMART CARE electronic database in Chongwe district to assess 2,070 HIV infected \r\npersons on HAART. Data was analyzed using SPSS version 20, and analyzed using Chi-square \r\nKruskal-Wallis for analysis of variance, and logistic regression was used to establish the \r\ndeterminants of hypertension and type II diabetes mellitus among HIV infected persons on \r\nHAART. 33.8% HIV positive clients on HAART had hypertension, and an incident case fatality \r\nrate of 85.7 cases per 1000 PYFU of hypertension. The prevalence of hypertension was \r\nsignificantly higher (?2=49.238, df=1; p<0.001) among men (64%) than among women (49%).\r\nThe prevalence of hypertension also differed significantly (?2=11.194, df=2; p=0.004) among \r\ndifferent age categories and was highest (57.2%) among the 18-45 years age bracket. This study \r\nalso found a significant correlation between hypertension and age of client in years (p=0.009). \r\nThe study also found an incident rate of 37.4 cases per 1000 PYFU of T2DM. This study also \r\nestablished no significant differences in the prevalence of type II diabetes mellitus between \r\nwomen (26%) and men (23%). However, the prevalence of diabetes differed significantly \r\n((?2=10.043, df=2; p=0.007) among different age categories and was highest (27.5%) among the \r\n56 years and older age bracket. Results of logistical regression analysis for the determinants \r\nT2DM and hypertension show that ART combination (p=0.001), age category (p=0.011) and \r\ncigarette smoking (p=0.0460) significantly added to the prediction model for T2DM outcome; \r\nand that ART combination (p=0.004), sex (p=0.001), family history of hypertension (p=0.007) \r\nand cigarette smoking (p=0.001) had significant associations with and significantly added to the \r\nprediction model for hypertension outcome. HIV positive clients on HAART had high \r\nprevalence and incidence of hypertension and type II diabetes mellitus. HAART combination \r\nregimen of two NRTI classes plus either a PI or INSTI were associated with higher incidence of \r\nhypertension whilst combination regimens of two NRTIs plus an NNRTI or INSTI and \r\ncombination therapy of NRTI+NNRTI+INSTI were associated with higher incidence of type II \r\ndiabetes mellitus in HAART treated clients.",The University of Zambia
The effect of night time diuretic chronotherapy on quality and duration of sleep among Zambian hypertensive patients,"Banda, David","Masters in Clinical Pharmacy~Poor sleep plays an important role in the prevalence of hypertension. It increases the\r\nprevalence rate to 60%. It is thought that sleep regulates stress hormones and helps\r\nnervous system. Overtime, lack of sleep hurt the body ability to regulate stress\r\nhormones, leading to high blood pressure. The night time dosing of blood pressure\r\nlowering drugs have yielded positive results. Scholars have rarely investigated the\r\nrelationship between night time dosing of diuretics and the quality of sleep. The\r\nstudy aimed at evaluating quality and duration of sleep while on night time dosing of\r\ndiuretics and determine the commonly used blood pressure lowering medication at\r\nUniversity Teaching Hospital.\r\nMethods: The sample consisted of 43 patients with hypertension and on diuretic, 25\r\nof whom were taking their medication in the evening at 10 PM and 18 were in the 10\r\nAM dosing schedule. The BP was measured with cuff sphygmomanometer at\r\nenrolment and follow-ups. The quality of sleep was measured using the Pittsburgh\r\nSleep Quality Index (PSQI) score while the duration of sleep was measured with\r\nEpworth Sleepiness Scale (ESS) score at enrolment and follow-ups. A PSQI score of\r\nless than 5 indicated good sleeps while an ESS score of 1-6 as a good duration of\r\nsleep.\r\nResults: Overall, 43 were included in the analysis. The 10AM group had 18 (41.8%),\r\nwhile the 10PM group had 25 (58.2%) at enrolment. The study recruited more\r\nwomen (72.0%) and the majority were on hydrochlorothiazide and amiloride\r\ncombination (72.0%). The 10PM dosing showed significant differences in quality of\r\nsleep with p-value of 0.010 at 12 weeks follow-up. The duration of sleep did not\r\nshow significant differences between the groups with p-value of 0.215. The blood\r\npressure lowering was significant in the 10PM group with p-value of 0.020 at 12\r\nweeks follow-up. Conclusions: The study suggested that the 10PM dosing of\r\ndiuretics in hypertensive patients and the diuretic effect does not affect the quality\r\nand duration of sleep. Further, 10PM dosing lowers the blood pressure significantly\r\ncompared with 10AM.",University of Zambia
Knowledge Among Parents/Guardians On The Presentation Of Paediatric HIV/AIDS And Related Factors,"Chintu, Namwinga","Zambia similar to other sub Saharan countries has high sero prevalence rates of HIV. In spite of several campaigns and strategies to improve HIV/AIDS awareness, paediatric HIV/AIDS cases in Zambia continue to rise. Despite the now available ARV's, few children are brought forward to access care. Possible reasons for this continued rise were explored in this study.\r\n\r\nThis quantitative descriptive study aimed to document awareness of parents/guardians of symptomatic paediatric AIDS among children under five years in a primary and tertiary health institution. Knowledge on mother-to-child transmission of HIV, and symptomatology of HIV among 331 parents/guardians attending Kabwata Health Center and University Teaching Hospital was assessed using a structured questionnaire.\r\n\r\nParents/ guardians are aware of mother to child transmission of HIV (MTCT) during pregnancy (36 %), labour and delivery (16%), and through breastfeeding (26%). Of note was that parents thought that HIV can be hospital acquired through use of unsterilised needles and syringes.\r\nJust over 50% of respondents thought that an apparently healthy child was a guarantee that the child's parents were free from HIV infection and this may be a contributing factor to the low utilisation of voluntary counselling and testing (VCT) services.\r\nSigns and symptoms of HIV infection volunteered by parents were non-specific. Specific signs and symptoms only accounted for 16% of the total responses. Half of the respondents were aware of the availability of anti-retroviral drugs for the management of HIV infection as well as for PMTCT. More than 80% of respondents were willing to under go VCT if they suspected their child of having HIV infection.\r\n\r\n \r\n\r\nInsufficient and inaccurate knowledge among parents and care givers about paediatric HIV/AIDS is one of the important reasons for low VCT uptake and may be indirectly responsible for the increase in infant morbidity and mortality in Zambia. The study has shown the need for sustained aggressive community sensitization on the presentation and management of paediatric HIV/AIDS",
Transaction costs and smallholder household access to maize markets in Zambia,"Bwalya, Richard~Mugisha, Johnny~Hyuha, Theodora","This is a full length Research Paper a part of a masters thesis.~After liberalization of the Zambian economy, farmers were faced with the responsibility of finding the right buyers, negotiating prices and delivering produce leading to them incurring transaction costs. This study aimed at identifying and quantifying transaction costs factors and their impact on maize market participation for small holder farmers in Zambia. The study used primary data collected from a sample of 240 randomly selected households from Zambia’s central Province. The Heckman’s procedure was used to analyze factors affecting the likelihood and extent of participation in maize markets. The logit results (from the Heckman’s two-stage process) show that ownership of assets such as radios and having access to alternative marketing channels increased the likelihood of market participation while the heckit results (OLS corrected for selectivity bias) shows that ownership of oxcarts, increased family size and experience in maize marketing were the factors that increased quantities of maize marketed. The study recommends provision of market information, improving accessibility to markets as well as increasing access to productive assets as means of alleviating impact of transaction costs.~Deutscher Akademischer Austauschdienst (DAAD)\r\nGerman Academic Exchange Service",Journal of Development and Agricultural Economics
Consumer perceptions and determinants of demand for Cassava products in Lusaka District,"Mboma, Grace","Cassava is an important crop in many parts of the country, with an area under cultivation estimated to be 47 per cent of that under maize. Upon introduction of various crop diversification projects, its production has been on the rise. Currently, most cassava grown in Zambia is used for household food security, although there are still opportunities for increased sales to consumers, particularly in urban areas.\r\n\r\nWith much of the focus being on increasing supply, a persistent challenge to the cassava industry has been little availability of knowledge on demand for the crop and its products. A study was carried out in Lusaka District, aimed at determining the factors affecting demand for cassava products and the role of consumer perceptions on demand.\r\n\r\nThe general objective of this study was to find out the perceptions of consumers towards cassava and the factors that affect their demand. The specific objectives were to identify the factors affecting quantity of cassava demanded by households, to describe the socio economic characteristics of cassava consumers and to assess the role of consumer perception on quantity of cassava demanded.\r\n\r\nA structured questionnaire was the primary instrument used for data collection. SPSS was used to generate descriptives while a regression model was run in STATA to determine which factors were significant. The value of cassava expenditure per household was used as a proxy for quantity of cassava demanded. Based on the results of the regression, price of maize meal, consumer preference and price of cassava meal were found to be significant, with p values of 0.002, 0.037 and 0.002, respectively.\r\n\r\nRecommendations that came out as a result of this research were that the government should embark on a series of promotion programs in order to raise awareness of cassava benefits. This can be done at household level, in schools and also hospitals. Markets for cassava could also be improved by minimising the transportation costs that exist between the production and consumption points. To make cassava attractive to more farmers, a similar program to that of the Farmer Input Support Program (FISP) can be introduced. Lastly, price policies can be put in place to avoid adverse fluctuations, especially if cassava is to serve as a food security crop.",The University of Zambia
Library studies Exams 2009,The University Of Zambia,,
Factors affecting coffee exports in Zambia,"Chileshe, Moses","This study investigates the factors that affect coffee exports in Zambia. A regression model is postulated based on international trade theory and estimated using SPSS. Given that there was no serious deviation from the Classical Linear Regression Model (CLRM), Ordinary Least Squares (OLS) was used to estimate the model. Data for the model was obtained from Zambia Coffee Growers Association (ZCGA), Ministry of Agriculture and Co-operatives (MACO), Coffee Board of Zambia (CBZ), FAO's World Agriculture Information Centre (WAICENT) website on Internet, Bank of Zambia (BOZ), Export Board of Zambia (EBZ) and Central Statistics Office (CSO).The results suggested that the cost of inputs, lagged price of coffee, real exchange rate, lagged price of cotton have a significant effect on net quantity of coffee exported per capita. Except for the lagged price of coffee, the quantity of coffee exported is highly responsive to slight changes in the variables. In other words a positive increase in the lagged price of coffee will cause a small increase in the quantity of coffee exported. While for a decrease in the cost of inputs and price of cotton, there will be a greater proportionate increase in the quantity of coffee exported and the converse is also true. In the case of the exchange rate depreciation of the currency, will increase the competitiveness of the country and consequently increase the net amount of coffee exported per capita and the converse is true. The other variation not explained by the model might be due to other factors, which cannot be easily quantified such as technology, transportation, extension services, reliability of the marketing net works and organizations.Based on these findings, it is recommended that Government intervention through provision of inputs subsidies, ensuring competitive prices for coffee and reduction on the overvaluation of the kwacha will support the coffee sector and consequently increase the net quantity of coffee exported per capita. Further more government intervention through the provision of addition skills on the part of the producer, provision of suitable markets, technology and information environment will help support the coffee sector. Finally there is need for a comprehensive study to analyze the main factors affecting foreign countries imports of coffee, and to interpret the implications for Zambian coffee policy.",
"The role of student representatives on education boards : the case of Zambia Institute of special education, Copperbelt College of Education and Kitwe College of Education","Bowasi, Daniel S.","This study investigated the role of student representatives on Education Boards in three colleges, namely, the Zambia Institute of Special Education, the Copperbelt College of Education, and the Kitwe College of Education. The thesis investigated the effectiveness of the students'representatives on College Boards. Although Kitwe College of Education\r\nwas not originally part of the research, it was felt that there was need to\r\ninclude a Basic School Teachers' College whose student population consisted mostly of pupils who had just completed school and was entering college life for the very first time. A sample total of 200\r\nRespondents was selected from these three colleges out of whom 153 respondents answered the questionnaire.\r\nData were collected using questionnaires, semi structured interviews and\r\nfocus group discussions. The data from questionnaires were computer analysed using the Statistical Package for Social Sciences (SPSS). On the other hand the data from interviews and focus group discussions were\r\nanalysed qualitatively by coding and grouping similar themes together\r\nusing constant comparative techniques. Tables, charts and graphs were used in the examinations and presentation of data after analysis. These were also used to examine the following major issues:\r\ni) Student participation in board meetings.\r\nii) Student participation in the financial committee.\r\niii) Student participation in the decision making process involving:\r\na) enrolment of students in the college\r\nb) disciplinary committee meetings involving both lecturers and students.\r\niv) Student participation in the policy formulation process of the\r\ncollege.\r\nVlll\r\nThe findings of the study revealed that there were varying degrees of\r\nstudent participation in the various colleges and also that the role of\r\nstudent representatives on the education boards differed from one college\r\nto the other. The findings also revealed that student board members were\r\nmarginalised by other board members when it came to decision making involving the utilisation of financial resources and disciplinary proceedings involving lecturers. Some information such as financial and audit reports was not readily available to student board members for them to make informed decisions on matters affecting their fellow students.",
Evaluation of library and information science students’ attachment programme: a case study of the University of Zambia,"Maseka, Anita","Thesis~This study was aimed evaluating the Library and Information Science students’ attachment programme-a case study of the University of Zambia. The study used a case study design to evaluate the contemporary phenomena within its real life context. The mixed methodapproach was used to evaluate the significance of Library and Information Science (LIS) student attachment programme at the University of Zambia (UNZA). A purposive sample of 70students, three (3) lecturers and three (3) supervisors was used. A descriptive design was employed under a mixed method approach that placed greater focus on the qualitative strand. Data collected from questionnaires and interview guides. Descriptive statistics were used to analyse data. The study found that students received industry training, were open to new experiences, developed sense of satisfaction, developed specialised technical skills, recognised personal strengths, acquired knowledge from job duties, had the ability to work and learn independently, developed realistic ideas about real working world, had the ability to persevere and these results tallied perfectly well with the responses from their different supervisors. Further despite attachments bridging the gap between theory and practice other concerns were raised which ranged from too much workload from supervisors, not enough technological equipment in University and industry, lack of transport, lunch, accommodation costs and not enough resources to facilitate training before attachments. The study recommended that the Ministry of Higher Education to continue revising conditions during attachments, train, provide and improve human resource, coordinate various institutions to improve service delivery and lastly provide capacity building and increase other support across all sectors that host students or trainees during attachments.\r\nKeywords: Industrial attachments, internship, practical experience and experiential learning.",The University of Zambia
